people.sex|people.race|households.hh_income|people.age|households.hh_size|households.latitude|households.longitude|pumsp.hisp|pumsp.schl|pumsp.semp|pumsp.rac1p
2|1|18500|63|2|36.1555220|-81.2787585|01|04|000000|1
2|1|18500|38|2|36.1555220|-81.2787585|01|06|000000|1
2|1|18500|63|2|36.4950255|-80.6442801|01|04|000000|1
2|1|18500|38|2|36.4950255|-80.6442801|01|06|000000|1
2|1|18500|63|2|36.3506002|-80.8406934|01|04|000000|1
2|1|18500|38|2|36.3506002|-80.8406934|01|06|000000|1
2|1|18500|63|2|36.4796368|-80.6252402|01|04|000000|1
2|1|18500|38|2|36.4796368|-80.6252402|01|06|000000|1
2|1|18500|63|2|36.3429931|-80.6521636|01|04|000000|1
2|1|18500|38|2|36.3429931|-80.6521636|01|06|000000|1
2|1|18500|63|2|36.3065793|-80.6312554|01|04|000000|1
2|1|18500|38|2|36.3065793|-80.6312554|01|06|000000|1
2|1|18500|63|2|36.5406825|-81.2026185|01|04|000000|1
2|1|18500|38|2|36.5406825|-81.2026185|01|06|000000|1
2|1|18500|63|2|36.1690728|-80.9710296|01|04|000000|1
2|1|18500|38|2|36.1690728|-80.9710296|01|06|000000|1
2|1|18500|63|2|36.2633658|-81.1624471|01|04|000000|1
2|1|18500|38|2|36.2633658|-81.1624471|01|06|000000|1
2|1|27170|42|4|36.2285323|-75.8728843|01|10|000000|1
1|1|27170|47|4|36.2285323|-75.8728843|01|09|018000|1
1|1|27170|16|4|36.2285323|-75.8728843|01|06|000000|1
2|1|27170|11|4|36.2285323|-75.8728843|01|03||1
2|1|27170|42|4|36.0809848|-76.4309260|01|10|000000|1
1|1|27170|47|4|36.0809848|-76.4309260|01|09|018000|1
1|1|27170|16|4|36.0809848|-76.4309260|01|06|000000|1
2|1|27170|11|4|36.0809848|-76.4309260|01|03||1
2|1|27170|42|4|36.4541428|-76.0605743|01|10|000000|1
1|1|27170|47|4|36.4541428|-76.0605743|01|09|018000|1
1|1|27170|16|4|36.4541428|-76.0605743|01|06|000000|1
2|1|27170|11|4|36.4541428|-76.0605743|01|03||1
2|1|27170|42|4|36.2382825|-75.8739272|01|10|000000|1
1|1|27170|47|4|36.2382825|-75.8739272|01|09|018000|1
1|1|27170|16|4|36.2382825|-75.8739272|01|06|000000|1
2|1|27170|11|4|36.2382825|-75.8739272|01|03||1
2|1|27170|42|4|36.1725933|-76.4766329|01|10|000000|1
1|1|27170|47|4|36.1725933|-76.4766329|01|09|018000|1
1|1|27170|16|4|36.1725933|-76.4766329|01|06|000000|1
2|1|27170|11|4|36.1725933|-76.4766329|01|03||1
2|1|27170|42|4|35.9869791|-75.6470824|01|10|000000|1
1|1|27170|47|4|35.9869791|-75.6470824|01|09|018000|1
1|1|27170|16|4|35.9869791|-75.6470824|01|06|000000|1
2|1|27170|11|4|35.9869791|-75.6470824|01|03||1
2|1|27170|42|4|35.9410836|-76.4998737|01|10|000000|1
1|1|27170|47|4|35.9410836|-76.4998737|01|09|018000|1
1|1|27170|16|4|35.9410836|-76.4998737|01|06|000000|1
2|1|27170|11|4|35.9410836|-76.4998737|01|03||1
2|1|27170|42|4|35.9270947|-75.6922846|01|10|000000|1
1|1|27170|47|4|35.9270947|-75.6922846|01|09|018000|1
1|1|27170|16|4|35.9270947|-75.6922846|01|06|000000|1
2|1|27170|11|4|35.9270947|-75.6922846|01|03||1
2|1|27170|42|4|36.2162500|-76.7071881|01|10|000000|1
1|1|27170|47|4|36.2162500|-76.7071881|01|09|018000|1
1|1|27170|16|4|36.2162500|-76.7071881|01|06|000000|1
2|1|27170|11|4|36.2162500|-76.7071881|01|03||1
2|1|27170|42|4|36.2894503|-75.8933265|01|10|000000|1
1|1|27170|47|4|36.2894503|-75.8933265|01|09|018000|1
1|1|27170|16|4|36.2894503|-75.8933265|01|06|000000|1
2|1|27170|11|4|36.2894503|-75.8933265|01|03||1
2|1|27170|42|4|36.4752493|-76.0391501|01|10|000000|1
1|1|27170|47|4|36.4752493|-76.0391501|01|09|018000|1
1|1|27170|16|4|36.4752493|-76.0391501|01|06|000000|1
2|1|27170|11|4|36.4752493|-76.0391501|01|03||1
