AGE_CAT,HI_CAT,HS_CAT,RACE_CAT,SEX_CAT,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
1,1,1,1,1,0.26904,0.2648,0.11621,0.22643,0.00903,0.02673,0.04849,0.03927,.,.,0.26904,0.53384,0.65005,0.87648,0.88551,0.91224,0.96073,1,.,.
1,1,1,1,2,0.20437,0.29203,0.16528,0.23295,0.00237,0.02368,0.05162,0.02771,.,.,0.20437,0.4964,0.66168,0.89464,0.897,0.92068,0.97229,1,.,.
1,1,1,2,1,0.26106,0.12658,0.03787,0.46424,0.01454,0.05526,0.02571,0.01474,.,.,0.26106,0.38764,0.42551,0.88974,0.90429,0.95955,0.98526,1,.,.
1,1,1,2,2,0.20659,0.14543,0.05611,0.49756,0.00397,0.05098,0.02851,0.01084,.,.,0.20659,0.35202,0.40813,0.9057,0.90967,0.96065,0.98916,1,.,.
1,1,1,3,1,0.31254,0.18538,0.04981,0.30549,0.00927,0.03947,0.06975,0.0283,.,.,0.31254,0.49792,0.54773,0.85322,0.86248,0.90196,0.9717,1,.,.
1,1,1,3,2,0.24767,0.21328,0.07391,0.32787,0.00253,0.03647,0.07746,0.02083,.,.,0.24767,0.46094,0.53485,0.86272,0.86525,0.90172,0.97917,1,.,.
1,1,2,1,1,0.16573,0.12946,0.06396,0.54947,0.00776,0.03,0.03962,0.01399,.,.,0.16573,0.29519,0.35916,0.90863,0.91639,0.94639,0.98601,1,.,.
1,1,2,1,2,0.14432,0.13258,0.06401,0.57527,0.00602,0.02523,0.0382,0.01437,.,.,0.14432,0.2769,0.34091,0.91618,0.9222,0.94743,0.98563,1,.,.
1,1,2,2,1,0.11998,0.04624,0.00987,0.74589,0.01136,0.03923,0.02132,0.00612,.,.,0.11998,0.16622,0.17608,0.92197,0.93333,0.97257,0.99388,1,.,.
1,1,2,2,2,0.10331,0.04683,0.00976,0.77221,0.00872,0.03264,0.02032,0.00621,.,.,0.10331,0.15014,0.1599,0.93211,0.94083,0.97347,0.99379,1,.,.
