sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
1,1,1,0,1,1,0.14745949
1,1,1,0,1,0,0.132929558
1,1,1,0,2,1,0.159653603
1,1,1,0,2,0,0.144184992
1,1,1,0,3,1,0.185867272
1,1,1,0,3,0,0.176584038
1,1,1,0,4,1,0.191090397
1,1,1,0,4,0,0.180795791
1,1,1,0,5,1,0.2035
1,1,1,0,5,0,0.190774125
1,1,2,0,1,1,0.372366536
1,1,2,0,1,0,0.34303103
1,1,2,0,2,1,0.393017731
1,1,2,0,2,0,0.362003535
1,1,2,0,3,1,0.443331754
1,1,2,0,3,0,0.426362184
1,1,2,0,4,1,0.451357427
1,1,2,0,4,0,0.431801397
1,1,2,0,5,1,0.471373079
1,1,2,0,5,0,0.439712501
1,1,3,0,1,1,0.235537153
1,1,3,0,1,0,0.214416985
1,1,3,0,2,1,0.236699933
1,1,3,0,2,0,0.211253004
1,1,3,0,3,1,0.283277585
1,1,3,0,3,0,0.268091302
1,1,3,0,4,1,0.289913591
1,1,3,0,4,0,0.271835827
1,1,3,0,5,1,0.305065095
1,1,3,0,5,0,0.262526074
1,1,1,1,1,1,0
1,1,1,1,1,0,0
1,1,1,1,2,1,0
1,1,1,1,2,0,0
1,1,1,1,3,1,0
1,1,1,1,3,0,0
1,1,1,1,4,1,0
1,1,1,1,4,0,0
1,1,1,1,5,1,0
1,1,1,1,5,0,0
1,1,2,1,1,1,0
1,1,2,1,1,0,0
1,1,2,1,2,1,0
1,1,2,1,2,0,0
1,1,2,1,3,1,0
1,1,2,1,3,0,0
1,1,2,1,4,1,0
1,1,2,1,4,0,0
1,1,2,1,5,1,0
1,1,2,1,5,0,0
1,1,3,1,1,1,0
1,1,3,1,1,0,0
1,1,3,1,2,1,0
1,1,3,1,2,0,0
1,1,3,1,3,1,0
1,1,3,1,3,0,0
1,1,3,1,4,1,0
1,1,3,1,4,0,0
1,1,3,1,5,1,0
1,1,3,1,5,0,0
1,2,1,0,1,1,0.111845036
1,2,1,0,1,0,0.095188548
1,2,1,0,2,1,0.127478237
1,2,1,0,2,0,0.107930873
1,2,1,0,3,1,0.167205381
1,2,1,0,3,0,0.152039833
1,2,1,0,4,1,0.176493889
1,2,1,0,4,0,0.158833594
1,2,1,0,5,1,0.199709513
1,2,1,0,5,0,0.175912571
1,2,2,0,1,1,0.291605701
1,2,2,0,1,0,0.253654288
1,2,2,0,2,1,0.321130115
1,2,2,0,2,0,0.277712032
1,2,2,0,3,1,0.405229509
1,2,2,0,3,0,0.374782087
1,2,2,0,4,1,0.420506804
1,2,2,0,4,0,0.384225178
1,2,2,0,5,1,0.461376404
1,2,2,0,5,0,0.39864144
1,2,3,0,1,1,0.23300216
1,2,3,0,1,0,0.211505323
1,2,3,0,2,1,0.234179061
1,2,3,0,2,0,0.208316075
1,2,3,0,3,1,0.281988851
1,2,3,0,3,0,0.266387473
1,2,3,0,4,1,0.288803271
1,2,3,0,4,0,0.270225066
1,2,3,0,5,1,0.304642494
1,2,3,0,5,0,0.260672304
1,2,1,1,1,1,0
1,2,1,1,1,0,0
1,2,1,1,2,1,0
1,2,1,1,2,0,0
1,2,1,1,3,1,0
1,2,1,1,3,0,0
1,2,1,1,4,1,0
1,2,1,1,4,0,0
1,2,1,1,5,1,0
1,2,1,1,5,0,0
1,2,2,1,1,1,0
1,2,2,1,1,0,0
1,2,2,1,2,1,0
1,2,2,1,2,0,0
1,2,2,1,3,1,0
1,2,2,1,3,0,0
1,2,2,1,4,1,0
1,2,2,1,4,0,0
1,2,2,1,5,1,0
1,2,2,1,5,0,0
1,2,3,1,1,1,0
1,2,3,1,1,0,0
1,2,3,1,2,1,0
1,2,3,1,2,0,0
1,2,3,1,3,1,0
1,2,3,1,3,0,0
1,2,3,1,4,1,0
1,2,3,1,4,0,0
1,2,3,1,5,1,0
1,2,3,1,5,0,0
1,3,1,0,1,1,0.115316831
1,3,1,0,1,0,0.098695337
1,3,1,0,2,1,0.130764312
1,3,1,0,2,0,0.111428351
1,3,1,0,3,1,0.169290976
1,3,1,0,3,0,0.15470097
1,3,1,0,4,1,0.178178118
1,3,1,0,4,0,0.161285386
1,3,1,0,5,1,0.200206665
1,3,1,0,5,0,0.177578317
1,3,2,0,1,1,0.308189363
1,3,2,0,1,0,0.271190987
1,3,2,0,2,1,0.33638322
1,3,2,0,2,0,0.294756671
1,3,2,0,3,1,0.414032086
1,3,2,0,3,0,0.386383703
1,3,2,0,4,1,0.427741697
1,3,2,0,4,0,0.395046079
1,3,2,0,5,1,0.463807835
1,3,2,0,5,0,0.408076725
1,3,3,0,1,1,0.184182415
1,3,3,0,1,0,0.158730426
1,3,3,0,2,1,0.185660792
1,3,3,0,2,0,0.155186941
1,3,3,0,3,1,0.253719714
1,3,3,0,3,0,0.229649873
1,3,3,0,4,1,0.265017982
1,3,3,0,4,0,0.235221239
1,3,3,0,5,1,0.292599586
1,3,3,0,5,0,0.221182199
1,3,1,1,1,1,0
1,3,1,1,1,0,0
1,3,1,1,2,1,0
1,3,1,1,2,0,0
1,3,1,1,3,1,0
1,3,1,1,3,0,0
1,3,1,1,4,1,0
1,3,1,1,4,0,0
1,3,1,1,5,1,0
1,3,1,1,5,0,0
1,3,2,1,1,1,0
1,3,2,1,1,0,0
1,3,2,1,2,1,0
1,3,2,1,2,0,0
1,3,2,1,3,1,0
1,3,2,1,3,0,0
1,3,2,1,4,1,0
1,3,2,1,4,0,0
1,3,2,1,5,1,0
1,3,2,1,5,0,0
1,3,3,1,1,1,0
1,3,3,1,1,0,0
1,3,3,1,2,1,0
1,3,3,1,2,0,0
1,3,3,1,3,1,0
1,3,3,1,3,0,0
1,3,3,1,4,1,0
1,3,3,1,4,0,0
1,3,3,1,5,1,0
1,3,3,1,5,0,0
1,4,1,0,1,1,0.132020107
1,4,1,0,1,0,0.116041713
1,4,1,0,2,1,0.146095938
