sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
1,1,1,0,1,0,0.507670722
1,1,1,0,1,1,0.569070598
1,1,1,0,2,0,0.571592649
1,1,1,0,2,1,0.619272174
1,1,1,0,3,0,0.619327248
1,1,1,0,3,1,0.634677825
1,1,1,0,4,0,0.231078996
1,1,1,0,4,1,0.251903661
1,1,1,0,5,0,0.378548016
1,1,1,0,5,1,0.39271925
1,1,1,1,1,0,0.363137097
1,1,1,1,1,1,0.449620455
1,1,1,1,2,0,0.454750264
1,1,1,1,2,1,0.53120946
1,1,1,1,3,0,0.587121068
1,1,1,1,3,1,0.614108083
1,1,1,1,4,0,0.238413414
1,1,1,1,4,1,0.256964275
1,1,1,1,5,0,0.343377985
1,1,1,1,5,1,0.369397481
1,1,2,0,1,0,0.55016198
1,1,2,0,1,1,0.59997716
1,1,2,0,2,0,0.687543335
1,1,2,0,2,1,0.694847727
1,1,2,0,3,0,0.658633972
1,1,2,0,3,1,0.658633971
1,1,2,0,4,0,0.268384755
1,1,2,0,4,1,0.276886526
1,1,2,0,5,0,0.409636814
1,1,2,0,5,1,0.412060351
1,1,2,1,1,0,0.363137097
1,1,2,1,1,1,0.449620455
1,1,2,1,2,0,0.454750264
1,1,2,1,2,1,0.53120946
1,1,2,1,3,0,0.587121068
1,1,2,1,3,1,0.614108083
1,1,2,1,4,0,0.238413414
1,1,2,1,4,1,0.256964275
1,1,2,1,5,0,0.343377985
1,1,2,1,5,1,0.369397481
1,1,3,0,1,0,0.506660043
1,1,3,0,1,1,0.568295692
1,1,3,0,2,0,0.632503712
1,1,3,0,2,1,0.660278028
1,1,3,0,3,0,0.617802984
1,1,3,0,3,1,0.633691742
1,1,3,0,4,0,0.251451541
1,1,3,0,4,1,0.265915462
1,1,3,0,5,0,0.395488722
1,1,3,0,5,1,0.403478645
1,1,3,1,1,0,0.363137097
1,1,3,1,1,1,0.449620455
1,1,3,1,2,0,0.454750264
1,1,3,1,2,1,0.53120946
1,1,3,1,3,0,0.587121068
1,1,3,1,3,1,0.614108083
1,1,3,1,4,0,0.238413414
1,1,3,1,4,1,0.256964275
1,1,3,1,5,0,0.343377985
1,1,3,1,5,1,0.369397481
1,2,1,0,1,0,0.510848162
1,2,1,0,1,1,0.573678634
1,2,1,0,2,0,0.528191634
1,2,1,0,2,1,0.590271858
1,2,1,0,3,0,0.5352977
1,2,1,0,3,1,0.581999219
1,2,1,0,4,0,0.231686438
1,2,1,0,4,1,0.25788489
1,2,1,0,5,0,0.400200017
1,2,1,0,5,1,0.412250333
1,2,1,1,1,0,0.245345691
1,2,1,1,1,1,0.332827128
1,2,1,1,2,0,0.268748094
1,2,1,1,2,1,0.359379637
1,2,1,1,3,0,0.341973943
1,2,1,1,3,1,0.42605042
1,2,1,1,4,0,0.196933884
1,2,1,1,4,1,0.230871088
1,2,1,1,5,0,0.323376478
