county,FIPS,medicareOnly,medicaidOnly,dual,BCBS
 Alamance,1,0.0218,0.0016,-0.0207,-0.0291
 Alexander,3,-0.0384,0.0111,0.0399,0.1137
 Alleghany,5,-0.0109,0.0051,0.0411,0.0996
 Anson,7,-0.0492,0.0519,0.0579,-0.1593
 Ashe,9,0.0339,-0.0201,-0.0154,0.034
 Avery,11,-0.0156,-0.0051,-0.1102,-0.205
 Beaufort,13,0.0552,0.0017,0.0235,0.1351
 Bertie,15,0.0502,-0.0245,0.0239,-0.055
 Bladen,17,0.0664,-0.0586,-0.174,-0.0042
 Brunswick,19,0.1522,0.0275,0.0947,0.2665
 Buncombe,21,-0.181,-0.0465,-0.0739,0.079
 Burke,23,-0.0748,0.0087,-0.0957,-0.0682
 Cabarrus,25,-0.0009,.,-0.0148,-0.0064
 Caldwell,27,0.0085,0.0189,0.0599,0.1356
 Camden,29,0.0324,0.0208,0.0784,0.1953
 Carteret,31,-0.0034,0.0338,0.0973,-0.0032
 Caswell,33,0.0029,0.009,-0.0059,-0.0037
 Catawba,35,0.042,0.0308,-0.0521,0.1717
 Chatham,37,-0.0443,0.0211,-0.0151,-0.0118
 Cherokee,39,-0.0059,-0.0136,0.0588,-0.0858
 Chowan,41,0.0426,-0.0068,0.0416,-0.036
 Clay,43,0.0033,-0.0024,-0.0079,-0.1315
 Cleveland,45,0.1202,-0.0315,-0.0356,0.1717
 Columbus,47,0.0072,0.017,0.1691,0.1485
 Craven,49,0.1814,0.0265,0.1224,0.1108
 Cumberland,51,-0.1125,0.0057,0.0072,0.0732
 Currituck,53,0.0287,0.0122,0.0443,0.0981
 Dare,55,0.062,-0.003,0.0167,0.0609
 Davidson,57,-0.0973,.,0.0537,0.0434
 Davie,59,0.0217,0.0065,-0.0956,-0.2108
 Duplin,61,-0.0547,-0.0522,-0.0344,-0.0007
 Durham,63,0.0462,-0.023,-0.0546,0.0339
 Edgecombe,65,-0.01,-0.0255,0.0464,-0.0793
 Forsyth,67,-0.2175,-0.023,-0.0877,-0.1932
 Franklin,69,0.0567,0.0092,0.0174,-0.0052
 Gaston,71,-0.0084,0.0041,0.0177,-0.0124
 Gates,73,-0.0164,0.0357,0.0314,0.0317
 Graham,75,0.0124,0.0225,-0.0213,-0.0968
 Granville,77,0.0629,-0.0491,-0.1424,-0.0846
 Greene,79,-0.0602,-0.0019,0.0448,0.2064
 Guilford,81,-0.0724,0.0494,0.0404,-0.0086
 Halifax,83,-0.1371,-0.0727,-0.1467,-0.1914
 Harnett,85,0.0206,-0.0421,-0.0169,0.0595
 Haywood,87,-0.0051,-0.028,-0.0862,-0.145
 Henderson,89,0.0599,0.0399,-0.037,0.0614
 Hertford,91,0.1316,0.0146,-0.0705,0.001
 Hoke,93,0.0342,0.0344,-0.0141,-0.1317
 Hyde,95,-0.0061,0.0042,0.0123,-0.0601
