Factor	Total	Medicare	Medicaid	Dual	BCBS
Intercept	-0.9698	-1.0385	-1.1883	-0.9355	-0.6034
Female	0.7635	0.9736	0.6807	0.6899	0.6581
Black	-0.1479	-0.183	-0.1307	-0.1144	
Other	-0.09868	-0.1923	-0.05079	-0.03621	
DUAL	0.05873				
MEDICAID	-0.1482				
Married					0.2804
Unknown					0.233
Yes					-0.03422
2003	0.6473	0.8558	0.5852	0.5887	0.9646
2004	0.5652	0.7303	0.5042	0.529	0.87
2005	0.3931	0.4944	0.4189	0.3471	0.746
2006	0.4006	0.545	0.4931	0.3017	0.577
2007	0.2076	0.2391	0.2399	0.1836	0.3603
2008	0	0	0	0	0
>5-10 Miles	-0.02845	-0.08839	-0.07334	0.04391	-0.04829
>10-15 Miles	-0.01567	-0.00458	-0.0749	0.02924	-0.06208
>15-20 Miles	-0.07815	-0.01507	-0.2275	0.01985	-0.1097
>20-25 Miles	0.1292	0.2816	0.1259	0.02571	0.01381
25+ Miles	-0.2473	-0.3594	-0.3291	-0.2046	-0.1219
0-5 Miles	0	0	0	0	0
