description,replication,population,age,n,num_state_healthy,tot_state_healthy,num_state_polyp,tot_state_polyp,num_state_cancer,tot_state_cancer,num_state_pre,tot_state_pre,num_state_clin,tot_state_clin,tot_state_dead,tot_state_dead_crc,tot_polyps_removed,tot_lesions_cured,tot_discounted_cost_routine,tot_discounted_cost_diagnostic,tot_discounted_cost_surveillance,tot_discounted_cost_treatment,tot_test0_performed,tot_test1_performed,tot_test2_performed
anylogic6,1,0,49,110000,93749,110000,7986,8305,143,148,105,148,38,42,8122,4,12,0,0,0.353963636,0,13.52727273,0,0,42
anylogic6,1,0,50,110000,93572,111899,7625,9899,161,173,83,173,78,89,8642,10,2207,0,228.1820182,5.752706938,0.033269023,27.89432874,13783,5554,27279
anylogic6,1,0,51,110000,91557,111921,8997,11393,201,216,109,216,92,106,9245,13,2244,0,230.3394393,8.249318982,0.065369281,33.15925699,27375,5554,27613
anylogic6,1,0,52,110000,89685,111957,10232,12760,237,259,129,259,108,128,9846,17,2304,0,232.3839465,10.76616902,0.099891864,39.57732718,40654,5554,27951
anylogic6,1,0,53,110000,87770,111993,11478,14154,271,300,144,300,127,154,10481,24,2366,0,234.3311261,13.1702513,0.171026137,46.79896757,53692,5554,28289
anylogic6,1,0,54,110000,85863,112024,12620,15461,325,363,175,363,150,185,11192,30,2427,0,236.1854121,15.61184422,0.272581214,55.07625845,66492,5554,28620
anylogic6,1,0,55,110000,84682,112729,12973,16685,383,435,203,435,180,229,11962,43,3400,0,252.2763391,21.78556946,14.46465975,66.8749981,79055,10812,31307
anylogic6,1,0,56,110000,82935,112783,13945,17863,432,496,222,496,210,268,12688,49,3513,0,253.9652883,24.22619685,14.74284771,76.96812496,91446,10812,31701
anylogic6,1,0,57,110000,81180,112832,14783,18973,504,585,270,585,234,308,13533,63,3614,0,255.6116341,26.38429019,15.11224929,87.38351427,103898,10812,32082
anylogic6,1,0,58,110000,79401,112900,15525,20034,575,675,301,675,274,362,14499,76,3755,0,257.1848635,28.79494551,15.45726641,100.4049131,116165,10812,32500
anylogic6,1,0,59,110000,77546,112958,16233,21073,663,784,348,784,315,418,15558,90,3903,0,258.7016903,31.37050414,15.83364919,113.4979782,128358,10812,32935
